Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
a88bca74-203e-8dc4-622b-d99650978e40,2003-03-22,,999-66-3730,S99986680,,,Santa373,Breitenberg711,,,,white,nonhispanic,F,Franklin  Massachusetts  US,145 Runte Neck,Medford,Massachusetts,Middlesex County,,42.47164497969848,-71.13609539477936,362697.43,2951.44
8f4433c4-14c5-7e7f-ee64-52ac47dd609f,2011-12-05,,999-26-1205,,,,Dewayne363,Padberg411,,,,asian,nonhispanic,M,Springfield  Massachusetts  US,275 Collins Walk Unit 7,Billerica,Massachusetts,Middlesex County,,42.53972984907504,-71.23399138166673,214893.43,2580.68
7c9255d9-9764-ade6-9443-b781cec82407,2013-04-20,,999-27-8828,,,,Patrick786,Bahringer146,,,,white,hispanic,M,Waltham  Massachusetts  US,965 McDermott Road,Andover,Massachusetts,Essex County,01810,42.679840869438706,-71.14824448018602,204919.97999999998,2066.56
d608479f-2b49-1a63-422b-433d8934db14,2013-01-12,,999-32-7549,,,,Eryn994,Quitzon246,,,,white,nonhispanic,F,Norwell  Massachusetts  US,447 Skiles Bridge,Lowell,Massachusetts,Middlesex County,01851,42.66017198571381,-71.31037436471259,169658.68,2391.52
e59887d0-e0f3-f89b-c538-41c39ac96d9b,1972-02-09,,999-50-2616,S99960213,X52463255X,Mrs.,Camila223,Berge125,,Bruen238,M,white,nonhispanic,F,Marblehead  Massachusetts  US,657 Kuphal Dale Suite 16,Worcester,Massachusetts,Worcester County,,42.3246846430498,-71.69892703156616,156875.98,19929.199999999997
ac8abc2f-33fe-0ec3-29fa-5bd598265a2a,2014-03-24,,999-79-2564,,,,Ethan766,Mertz280,,,,white,nonhispanic,M,St Petersburg  St Petersburg  RU,333 Gorczany Trailer Apt 81,Brookline,Massachusetts,Norfolk County,,42.31550750618882,-71.06336468913346,144150.0,2045.7199999999998
49a3607a-3755-5248-f438-2f65543c59f8,1913-05-25,2013-05-03,999-99-3114,S99921475,X82618760X,Mrs.,Abby752,Considine820,,Hamill307,M,asian,nonhispanic,F,Fall River  Massachusetts  US,791 Schaefer Path,Concord,Massachusetts,Middlesex County,,42.504961225825475,-71.32671010177866,1436891.9100000001,39700.82
65bfc45d-7515-833a-b7a3-083e9f79a516,1994-12-05,,999-15-2595,S99975422,X4692339X,Mr.,Quintin944,Wilderman619,,,,white,nonhispanic,M,Malden  Massachusetts  US,227 Beer Stravenue,Northampton,Massachusetts,Hampshire County,,42.37979607179266,-72.69639363950822,687236.78,2774.7999999999997
97397f6b-831f-94ad-41d2-5011ea634f27,1987-06-15,,999-53-3774,S99995461,X25423993X,Mrs.,Kirsten270,Nienow652,,Gutmann970,M,white,nonhispanic,F,Worcester  Massachusetts  US,298 Smith Ranch,Arlington,Massachusetts,Middlesex County,,42.4626319393827,-71.17822400759113,807959.4,4485.44
53b77d27-846d-7567-1fa7-f4cbba9a08aa,1992-05-02,,999-25-1014,S99978318,X48920018X,Mr.,Denis399,Bailey598,,,M,white,nonhispanic,M,Somerville  Massachusetts  US,990 Miller Vista Suite 8,Acton,Massachusetts,Middlesex County,,42.51639216564089,-71.4519495534871,584738.38,2981.3599999999997
349a4b7b-7c82-2c24-f4e7-b0e0db56f014,1994-03-28,,999-41-8918,S99918985,X25695143X,Ms.,Spring819,Schumm995,,,,black,nonhispanic,F,Shrewsbury  Massachusetts  US,716 Jacobi Center,Longmeadow,Massachusetts,Hampden County,,42.04114305208053,-72.60346255061481,711941.83,3420.6
d79cbfdc-f5f1-fa49-1284-c6de561fef64,1939-05-28,2018-03-22,999-31-7951,S99911890,X82763113X,Mr.,Sheldon401,Dietrich576,,,S,white,nonhispanic,M,Agawam  Massachusetts  US,720 Brakus Key,Lowell,Massachusetts,Middlesex County,01851,42.66568630502469,-71.32012900370432,1537151.56,13206.71
a1dd270e-6116-3f32-7613-54dec452a6cd,1983-03-24,,999-75-8582,S99938902,X78140000X,Mr.,Jerrod232,Beier427,,,M,white,nonhispanic,M,Holliston  Massachusetts  US,745 Bauch Gateway,Weymouth,Massachusetts,Norfolk County,,42.195014723068155,-70.94551077538092,798520.9100000001,9606.359999999999
a5955a94-21fd-107f-dd34-7f3834475235,1970-01-23,,999-94-2453,S99931175,X15342834X,Mr.,Earnest658,Muller251,,,M,white,nonhispanic,M,Boston  Massachusetts  US,147 Carter Village Apt 45,Taunton,Massachusetts,Bristol County,,41.907647274434446,-71.12212690792263,1161528.58,7148.36
f01c53bb-34c4-31d9-579c-2e7f60de0b3d,1998-01-21,,999-34-9153,S99944228,X57043248X,Mr.,Jewel43,Boehm581,,,,white,nonhispanic,M,Weymouth  Massachusetts  US,776 Murazik Walk Suite 2,Boston,Massachusetts,Suffolk County,02114,42.31476268128033,-71.18859529649723,73598.03,19577.399999999998
b15af482-b9d8-56d4-967f-ded61da1be75,1972-11-03,,999-82-5864,S99916739,X70201357X,Mr.,Tobias236,Harvey63,,,M,white,nonhispanic,M,Marshfield  Massachusetts  US,1069 Kuhn Key,Haverhill,Massachusetts,Essex County,01832,42.77566597488509,-71.15673899846819,983910.35,3380.4399999999996
4a7b9142-b3da-b8b1-f37b-8e00c056ac90,1937-06-01,2017-08-18,999-57-1872,S99921567,X51749200X,Mrs.,Pamelia915,Wilkinson796,,Orn563,M,asian,nonhispanic,F,Palmer  Massachusetts  US,250 Zemlak Hollow Suite 55,Gardner,Massachusetts,Worcester County,,42.62025022822829,-71.95034776185514,330802.51,101500.41999999998
3beb4322-cf29-dcc7-e611-44b6a659090a,2001-10-31,,999-97-9106,S99998673,,Mr.,Gustavo235,Verdugo724,,,,black,nonhispanic,M,Caracas  Capital District  VE,1014 Runolfsson Divide Apt 40,Webster,Massachusetts,Worcester County,,42.08802353246626,-71.8413045755002,413472.62,3866.3199999999997
9d0cddc0-2214-f884-7d2a-c54173ddf671,1966-10-23,,999-37-1032,S99917862,X9426207X,Mr.,Gregorio366,Viera553,,,M,white,hispanic,M,Tegucigalpa  Francisco Morazán  HN,476 Murphy Rue Apt 45,Peabody,Massachusetts,Essex County,,42.50354070794582,-70.98466478267434,1129545.6600000001,5771.879999999999
b43e6bb1-55a0-729f-ab67-cb4e6c870498,1989-07-10,,999-67-5225,S99993198,X50187528X,Mrs.,Jolanda321,Wisoky380,,Raynor401,M,white,nonhispanic,F,Lakeville  Massachusetts  US,536 Rolfson Port Unit 85,Framingham,Massachusetts,Middlesex County,,42.27586190262113,-71.40916814955379,777271.23,6856.919999999999
9860a8cd-d44e-a819-6e0d-b3f8939e4e2d,1913-05-25,2013-03-22,999-51-1178,S99988768,X80048528X,Mrs.,Tilda804,Wisoky380,,Russel238,M,asian,nonhispanic,F,Medford  Massachusetts  US,1002 Anderson Underpass,Concord,Massachusetts,Middlesex County,,42.49362519259164,-71.40753211755553,1583251.57,29462.309999999998
572097a2-ef82-d940-3201-542a959f21c8,2014-07-05,,999-11-7472,,,,Erasmo545,Witting912,,,,white,nonhispanic,M,Boston  Massachusetts  US,331 Dickinson Road,Easton,Massachusetts,Bristol County,,42.00256505968124,-71.08130859332151,152195.0,2129.88
848a939b-1eb2-016c-86b7-2fa210c85a4b,1997-12-18,,999-37-2888,S99967051,X63232663X,Ms.,Kamilah729,Nikolaus26,,,,white,nonhispanic,F,Kraków  Lesser Poland  PL,615 Lowe Union Unit 28,Marlborough,Massachusetts,Middlesex County,,42.3010540013313,-71.57060664077942,526773.21,4507.919999999999
7cb225fc-4bd2-aa59-8a00-9bd088ef1656,1966-06-16,,999-21-7846,S99975807,X59075688X,Mrs.,Iesha760,Glover433,,Ratke343,M,white,nonhispanic,F,Acton  Massachusetts  US,536 Flatley Trace Suite 73,Andover,Massachusetts,Essex County,,42.61119705434671,-71.14194669354727,1212270.08,34886.909999999996
a934f39b-5bef-408f-85ed-cbe1bedab75a,2003-12-31,,999-11-7542,S99973914,,,Mirna233,Gaylord332,,,,white,nonhispanic,F,Brockton  Massachusetts  US,985 Murphy Way,Plymouth,Massachusetts,Plymouth County,,41.85623204620883,-70.61903768188947,405918.96,3670.5599999999995
f62abf57-b3fd-9b88-87fb-e643b3016fe5,1998-05-20,,999-94-4696,S99922986,X7280207X,Mr.,Danial835,Weissnat378,,,,white,nonhispanic,M,Cambridge  Massachusetts  US,605 Denesik Trace,Boston,Massachusetts,Suffolk County,02135,42.31584515344163,-71.11368347076566,488320.1,3249.72
79fab777-f521-24c6-876f-db3a5128747c,1939-05-28,2020-03-14,999-81-2470,S99980799,X73997224X,Mr.,Samuel331,Weber641,,,M,white,nonhispanic,M,Plymouth  Massachusetts  US,891 Bailey Vista,Lowell,Massachusetts,Middlesex County,01852,42.658689637637806,-71.29843551587305,1556306.06,17324.579999999998
8d41d634-d458-6085-31c3-e2f00ec9d3b8,2003-04-24,,999-27-5706,S99980474,,,David908,Bergstrom287,,,,white,nonhispanic,M,Kingston  Massachusetts  US,851 Aufderhar Fort,Westfield,Massachusetts,Hampden County,,42.170950281738165,-72.70707994313817,401038.89,3308.9199999999996
3988a7e4-61c7-e8dc-1171-9e1b6be54236,2002-01-30,,999-14-4723,S99977060,,Ms.,Victor265,Greenfelder433,,,,white,nonhispanic,F,Gloucester  Massachusetts  US,380 Hilpert Manor,Northbridge,Massachusetts,Worcester County,,42.141796801781545,-71.65493973705237,38415.26,3712.55
